A0000080,0.000755242,0.521152057
A0000073,0.013077416,0.413041852
A0000018,0.038299441,0.606397111
A0000032,0.098376762,0.900034583
A0000088,0.112761757,0.665643088
A0000027,0.143531437,0.819831595
A0000006,0.127923961,0.694283072
A0000085,0.163862074,0.869853837
A0000081,0.108074294,0.540539859
A0000077,0.164976677,0.761900348
A0000016,0.175804898,0.758445153
A0000014,0.127041504,0.543893178
A0000002,0.163596582,0.675945343
A0000059,0.019994241,0.07221801
A0000071,0.096883843,0.341632709
A0000062,0.322087591,0.972149178
A0000017,0.321728182,0.892599197
A0000026,0.232724856,0.553399129
A0000019,0.175124176,0.405696624
A0000096,0.253063018,0.583750155
A0000028,0.151215595,0.344433131
A0000076,0.367415982,0.830913384
A0000009,0.358307409,0.806464334
A0000030,0.121333885,0.263954161
A0000045,0.222996331,0.459812681
A0000100,0.303911209,0.621672771
A0000093,0.101814205,0.204006887
A0000010,0.492876814,0.965559235
A0000025,0.507135509,0.920078961
A0000013,0.556947485,0.993100871
A0000086,0.533792243,0.913175861
A0000031,0.244049208,0.410507197
A0000051,0.576732148,0.967530595
A0000048,0.455742782,0.741400445
A0000057,0.354677745,0.56913186
A0000047,0.256333692,0.410496695
A0000008,0.370705535,0.56169711
A0000034,0.602276577,0.874453696
A0000087,0.363898933,0.423920789
A0000011,0.153866509,0.086002765
